gene,alias
PRDX1,TDPX2
PRDX1,PRDX1
PAH,PH
PAH,PKU
PAH,PKU1
PAH,PAH
SERPINE1,PAI
SERPINE1,PAI-1
SERPINE1,PAI1
SERPINE1,PLANH1
SERPINE1,SERPINE1
SERPINB2,HsT1201
SERPINB2,PAI
SERPINB2,PAI-2
SERPINB2,PAI2
SERPINB2,PLANH2
SERPINB2,SERPINB2
PAK1,IDDMSSD
PAK1,PAKalpha
PAK1,alpha-PAK
PAK1,p65-PAK
PAK1,PAK1
PAK2,PAK65
PAK2,PAKgamma
PAK2,PAK2
PAK3,ARA
PAK3,MRX30
PAK3,MRX47
PAK3,OPHN3
PAK3,PAK-3
PAK3,PAK3beta
PAK3,XLID30
PAK3,bPAK
PAK3,beta-PAK
PAK3,PAK3
PALM,PALM1
PALM,PALM
PAM,PAL
PAM,PHM
PAM,PAM
CNTN3,BIG-1
CNTN3,PANG
CNTN3,PCS
CNTN3,CNTN3
REG3A,HIP
REG3A,HIP/PAP
REG3A,INGAP
REG3A,PAP
REG3A,PAP-H
REG3A,PAP1
REG3A,PBCGF
REG3A,REG-III
REG3A,REG3
REG3A,REG3A
PAPPA,ASBABP2
PAPPA,DIPLA1
PAPPA,IGFBP-4ase
PAPPA,PAPA
PAPPA,PAPP-A
PAPPA,PAPPA1
PAPPA,PAPPA
PRKN,AR-JP
PRKN,LPRS2
PRKN,PARK2
PRKN,PDJ
PRKN,PRKN
PARK3,PARK3
PARN,DAN
PARN,DKCB6
PARN,PFBMFT4
PARN,PARN
PAWR,PAR4
PAWR,Par-4
PAWR,PAWR
PAX1,HUP48
PAX1,OFC2
PAX1,PAX1
PAX2,FSGS7
PAX2,PAPRS
PAX2,PAX2
PAX3,CDHS
PAX3,HUP2
PAX3,WS1
PAX3,WS3
PAX3,PAX3
PAX4,KPD
PAX4,MODY9
PAX4,PAX4
PAX5,ALL3
PAX5,BSAP
PAX5,PAX5
PAX6,AN
PAX6,AN1
PAX6,AN2
PAX6,ASGD5
PAX6,D11S812E
PAX6,FVH1
PAX6,MGDA
PAX6,WAGR
PAX6,PAX6
PAX7,HUP1
PAX7,MYOSCO
PAX7,PAX7B
PAX7,RMS2
PAX7,PAX7
PDCL,PhLP
PDCL,PDCL
PAX9,STHAG3
PAX9,PAX9
PBX1,CAKUHED
PBX1,PBX1
PBX2P1,PBX2
PBX2P1,PBXP1
PBX2P1,PBX2P1
PBX2,G17
PBX2,HOX12
PBX2,PBX2MHC
PBX2,PBX2
PBX3,PBX3
PC,PCB
PC,PC
PCBD1,DCOH
PCBD1,PCBD
PCBD1,PCD
PCBD1,PHS
PCBD1,PCBD1
PCBP1,HEL-S-85
PCBP1,HNRPE1
PCBP1,HNRPX
PCBP1,hnRNP-E1
PCBP1,hnRNP-X
PCBP1,PCBP1
PCBP2,HNRNPE2
PCBP2,HNRPE2
PCBP2,hnRNP-E2
PCBP2,PCBP2
PCCA,PCCA
PCCB,PCCB
PCDH1,PC42
PCDH1,PCDH42
PCDH1,PCDH1
PCDHGC3,PC43
PCDHGC3,PCDH-GAMMA-C3
PCDHGC3,PCDH2
PCDHGC3,PCDHGC3
PCDH7,BH-Pcdh
PCDH7,BHPCDH
PCDH7,PPP1R120
PCDH7,PCDH7
PCDH8,ARCADLIN
PCDH8,PAPC
PCDH8,PCDH8
PCDH9,PCDH9
SERPINA5,PAI-3
SERPINA5,PAI3
SERPINA5,PCI
SERPINA5,PCI-B
SERPINA5,PLANH3
SERPINA5,PROCI
SERPINA5,SERPINA5
PCK1,PCKDC
PCK1,PEPCK-C
PCK1,PEPCK1
PCK1,PEPCKC
PCK1,PCK1
PCK2,PEPCK
PCK2,PEPCK-M
PCK2,PEPCK2
PCK2,PCK2
PCM1,PTC4
PCM1,RET/PCM-1
PCM1,PCM1
PCMT1,PIMT
PCMT1,PCMT1
PCNA,ATLD2
PCNA,PCNA
PCNT,KEN
PCNT,MOPD2
PCNT,PCN
PCNT,PCNT2
PCNT,PCNTB
PCNT,PCTN2
PCNT,SCKL4
PCNT,PCNT
PCOLCE,PCPE
PCOLCE,PCPE-1
PCOLCE,PCPE1
PCOLCE,PCOLCE
CHMP1A,CHMP1
CHMP1A,PCH8
CHMP1A,PCOLN3
CHMP1A,PRSM1
CHMP1A,VPS46-1
CHMP1A,VPS46A
CHMP1A,CHMP1A
PCOS1,PCO
PCOS1,PCO1
PCOS1,PCOS1
PCP4,PEP-19
PCP4,PCP4
PCSK1,BMIQ12
PCSK1,NEC1
PCSK1,PC1
PCSK1,PC3
PCSK1,SPC3
PCSK1,PCSK1
PCSK5,PC5
PCSK5,PC6
PCSK5,PC6A
PCSK5,SPC6
PCSK5,PCSK5
PCSK2,NEC 2
PCSK2,NEC-2
PCSK2,NEC2
PCSK2,PC2
PCSK2,SPC2
PCSK2,PCSK2
CDK16,PCTAIRE
CDK16,PCTAIRE1
CDK16,PCTGAIRE
CDK16,PCTK1
CDK16,CDK16
CDK17,PCTAIRE2
CDK17,PCTK2
CDK17,CDK17
CDK18,PCTAIRE
CDK18,PCTAIRE3
CDK18,PCTK3
CDK18,CDK18
PCYT1A,CCTA
PCYT1A,CCTalpha
PCYT1A,CT
PCYT1A,CTA
PCYT1A,CTPCT
PCYT1A,PCYT1
PCYT1A,SMDCRD
PCYT1A,PCYT1A
PDB1,PDB
PDB1,PDB1
PDC,MEKA
PDC,PHD
PDC,PhLOP
PDC,PhLP
PDC,PDC
PDCD1,CD279
PDCD1,PD-1
PDCD1,PD1
PDCD1,SLEB2
PDCD1,hPD-1
PDCD1,hPD-l
PDCD1,hSLE1
PDCD1,PDCD1
PDCD2,RP8
PDCD2,ZMYND7
PDCD2,PDCD2
PDE1A,CAM-PDE 1A
PDE1A,CAM-PDE-1A
PDE1A,HCAM-1
PDE1A,HCAM1
PDE1A,HSPDE1A
PDE1A,PDE1A
PDE1C,DFNA74
PDE1C,Hcam3
PDE1C,cam-PDE 1C
PDE1C,hCam-3
PDE1C,PDE1C
PDE2A,CGS-PDE
PDE2A,IDDPADS
PDE2A,PDE2A1
PDE2A,PED2A4
PDE2A,cGSPDE
PDE2A,PDE2A
PDE3A,CGI-PDE
PDE3A,CGI-PDE A
PDE3A,CGI-PDE-A
PDE3A,HTNB
PDE3A,PDE3A
PDE3B,HcGIP1
PDE3B,cGIPDE1
PDE3B,PDE3B
PDE4A,DPDE2
PDE4A,PDE4
PDE4A,PDE46
PDE4A,PDE4A
PDE4B,DPDE4
PDE4B,PDEIVB
PDE4B,PDE4B
PDE4C,DPDE1
PDE4C,PDE21
PDE4C,PDE4C
PDE4D,ACRDYS2
PDE4D,DPDE3
PDE4D,HSPDE4D
PDE4D,PDE43
PDE4D,PDE4DN2
PDE4D,STRK1
PDE4D,PDE4D
PDE6A,CGPR-A
PDE6A,PDEA
PDE6A,RP43
PDE6A,PDE6A
PDE6C,ACHM5
PDE6C,COD4
PDE6C,PDEA2
PDE6C,PDE6C
PDE6D,JBTS22
PDE6D,PDED
PDE6D,PDE6D
PDE6G,PDEG
PDE6G,RP57
PDE6G,PDE6G
PDE6H,ACHM6
PDE6H,RCD3
PDE6H,PDE6H
PDE7A,HCP1
PDE7A,PDE7
PDE7A,PDE7A
PDE8A,HsT19550
PDE8A,PDE8A
PDE9A,HSPDE9A2
PDE9A,PDE9A
PDE1B,HEL-S-79p
PDE1B,PDE1B1
PDE1B,PDES1B
PDE1B,PDE1B
PDGFA,PDGF-A
PDGFA,PDGF1
PDGFA,PDGFA
PDGFB,IBGC5
PDGFB,PDGF-2
PDGFB,PDGF2
PDGFB,SIS
PDGFB,SSV
PDGFB,c-sis
PDGFB,PDGFB
PDGFRA,CD140A
PDGFRA,PDGFR-2
PDGFRA,PDGFR2
PDGFRA,PDGFRA
PDGFRL,PDGRL
PDGFRL,PRLTS
PDGFRL,PDGFRL
PDE6B,CSNB3
PDE6B,CSNBAD2
PDE6B,GMP-PDEbeta
PDE6B,PDEB
PDE6B,RP40
PDE6B,rd1
PDE6B,PDE6B
PDGFRB,CD140B
PDGFRB,IBGC4
PDGFRB,IMF1
PDGFRB,JTK12
PDGFRB,KOGS
PDGFRB,PDGFR
PDGFRB,PDGFR-1
PDGFRB,PDGFR1
PDGFRB,PENTT
PDGFRB,PDGFRB
PDHA1,PDHA
PDHA1,PDHAD
PDHA1,PDHCE1A
PDHA1,PHE1A
PDHA1,PDHA1
PDHA2,PDHAL
PDHA2,PDHA2
PDHB,PDHBD
PDHB,PDHE1-B
PDHB,PDHE1B
PDHB,PHE1B
PDHB,PDHB
PDK1,PDK1
PDK2,PDHK2
PDK2,PDKII
PDK2,PDK2
PDK3,CMTX6
PDK3,GS1-358P8.4
PDK3,PDK3
PDK4,PDK4
ENPP1,ARHR2
ENPP1,COLED
ENPP1,M6S1
ENPP1,NPP1
ENPP1,NPPS
ENPP1,PC-1
ENPP1,PCA1
ENPP1,PDNP1
ENPP1,ENPP1
ENPP2,ATX
ENPP2,ATX-X
ENPP2,AUTOTAXIN
ENPP2,LysoPLD
ENPP2,NPP2
ENPP2,PD-IALPHA
ENPP2,PDNP2
ENPP2,ENPP2
ENPP3,B10
ENPP3,CD203c
ENPP3,NPP3
ENPP3,PD-IBETA
ENPP3,PDNP3
ENPP3,ENPP3
PDPK1,PDK1
PDPK1,PDPK2
PDPK1,PDPK2P
PDPK1,PRO0461
PDPK1,PDPK1
PDR,PDR
SLC26A4,DFNB4
SLC26A4,EVA
SLC26A4,PDS
SLC26A4,TDH2B
SLC26A4,SLC26A4
PDYN,ADCA
PDYN,PENKB
PDYN,SCA23
PDYN,PDYN
PDZK1,CAP70
PDZK1,CLAMP
PDZK1,NHERF-3
PDZK1,NHERF3
PDZK1,PDZD1
PDZK1,PDZK1
PECAM1,CD31
PECAM1,CD31/EndoCAM
PECAM1,GPIIA'
PECAM1,PECA1
PECAM1,PECAM-1
PECAM1,endoCAM
PECAM1,PECAM1
SERPINF1,EPC-1
SERPINF1,OI12
SERPINF1,OI6
SERPINF1,PEDF
SERPINF1,PIG35
SERPINF1,SERPINF1
PEE1,PEE
PEE1,PIH
PEE1,PREG1
PEE1,PEE1
PEG3,PW1
PEG3,ZKSCAN22
PEG3,ZNF904
PEG3,ZSCAN24
PEG3,PEG3
PENK,PE
PENK,PENK-A
PENK,PENK
PEPB,PEPB
PEPC,PEPC
PEPD,PROLIDASE
PEPD,PEPD
PEPE,PEPE
PER1,PER
PER1,RIGUI
PER1,hPER
PER1,PER1
GATB,COXPD41
GATB,HSPC199
GATB,PET112
GATB,PET112L
GATB,GATB
PEX1,HMLR1
PEX1,PBD1A
PEX1,PBD1B
PEX1,ZWS
PEX1,ZWS1
PEX1,PEX1
PEX6,HMLR2
PEX6,PAF-2
PEX6,PAF2
PEX6,PBD4A
PEX6,PDB4B
PEX6,PXAAA1
PEX6,PEX6
PEX7,PBD9B
PEX7,PTS2R
PEX7,RCDP1
PEX7,RD
PEX7,PEX7
PEX10,"NALD"
PEX10,PBD6A
PEX10,PBD6B
PEX10,RNF69
PEX10,PEX10
PEX12,PAF-3
PEX12,PBD3A
PEX12,PEX12
PEX13,"NALD"
PEX13,PBD11A
PEX13,PBD11B
PEX13,ZWS
PEX13,PEX13
PEX14,"NAPP2"
PEX14,PBD13A
PEX14,Pex14p
PEX14,dJ734G22.2
PEX14,PEX14
PF4,CXCL4
PF4,PF-4
PF4,SCYB4
PF4,PF4
PF4V1,CXCL4L1
PF4V1,CXCL4V1
PF4V1,PF4-ALT
PF4V1,PF4A
PF4V1,SCYB4V1
PF4V1,PF4V1
PFAS,FGAMS
PFAS,FGAR-AT
PFAS,FGARAT
PFAS,GATD8
PFAS,PURL
PFAS,PFAS
CFP,BFD
CFP,PFC
CFP,PFD
CFP,PROPERDIN
CFP,CFP
PFDN1,PDF
PFDN1,PFD1
PFDN1,PFDN1
PFDN2,PFD2
PFDN2,PFDN2
PFDN4,C1
PFDN4,PFD4
PFDN4,PFDN4
PFDN5,MM-1
PFDN5,MM1
PFDN5,PFD5
PFDN5,PFDN5
ATP8B1,ATPIC
ATP8B1,BRIC
ATP8B1,FIC1
ATP8B1,ICP1
ATP8B1,PFIC
ATP8B1,PFIC1
ATP8B1,ATP8B1
PFKFB1,F6PK
PFKFB1,HL2K
PFKFB1,PFRX
PFKFB1,PFKFB1
PFKFB2,PFK-2/FBPase-2
PFKFB2,PFKFB2
PFKFB3,IPFK2
PFKFB3,PFK2
PFKFB3,iPFK-2
PFKFB3,PFKFB3
PFKFB4,PFKFB4
PFKL,ATP-PFK
PFKL,PFK-B
PFKL,PFK-L
PFKL,PFKL
VIT,VIT1
VIT,VIT
PFKM,ATP-PFK
PFKM,GSD7
PFKM,PFK-1
PFKM,PFK-A
PFKM,PFK1
PFKM,PFKA
PFKM,PFKX
PFKM,PPP1R122
PFKM,PFKM
PFKP,ATP-PFK
PFKP,PFK-C
PFKP,PFK-P
PFKP,PFKF
PFKP,PFKP
PFN1,ALS18
PFN1,PFN1
PFN2,D3S1319E
PFN2,PFL
PFN2,PFN2
CDK14,PFTAIRE1
CDK14,PFTK1
CDK14,CDK14
PGA5,Pg5
PGA5,PGA5
PGAM1,HEL-S-35
PGAM1,PGAM-B
PGAM1,PGAMA
PGAM1,PGAM1
PGAM2,GSD10
PGAM2,PGAM-M
PGAM2,PGAMM
PGAM2,PGAM2
PGC,PEPC
PGC,PGII
PGC,PGC
PGD,6PGD
PGD,PGD
PGF,D12S1900
PGF,PGFL
PGF,PIGF
PGF,PLGF
PGF,PlGF-2
PGF,SHGC-10760
PGF,PGF
PGGT1B,BGGI
PGGT1B,GGTI
PGGT1B,PGGT1B
PGK1,HEL-S-68p
PGK1,MIG10
PGK1,PGKA
PGK1,PGK1
PGK1P1,PGK1P1
PGK2,HEL-S-272
PGK2,PGKB
PGK2,PGKPS
PGK2,dJ417L20.2
PGK2,PGK2
PGK1P2,PGK2
PGK1P2,PGK1P2
PGM1,CDG1T
PGM1,GSD14
PGM1,PGM1
PGM3,AGM1
PGM3,IMD23
PGM3,PAGM
PGM3,PGM 3
PGM3,PGM3
PGM5,PGMRP
PGM5,PGM5
PGR,NR3C3
PGR,PR
PGR,PGR
ABCB1,ABC20
ABCB1,CD243
ABCB1,CLCS
ABCB1,GP170
ABCB1,MDR1
ABCB1,P-GP
ABCB1,PGY1
ABCB1,p-170
ABCB1,ABCB1
ABCB4,ABC21
ABCB4,GBD1
ABCB4,ICP3
ABCB4,MDR2
ABCB4,MDR2/3
ABCB4,MDR3
ABCB4,PFIC-3
ABCB4,PGY3
ABCB4,ABCB4
PHB,HEL-215
PHB,HEL-S-54e
PHB,PHB1
PHB,PHB
PHBP1,PHBP1
SLC25A3,OK/SW-cl.48
SLC25A3,PHC
SLC25A3,PTP
SLC25A3,SLC25A3
PHEX,HPDR
PHEX,HPDR1
PHEX,HYP
PHEX,HYP1
PHEX,LXHR
PHEX,PEX
PHEX,XLH
PHEX,PHEX
PHF1,MTF2L2
PHF1,PCL1
PHF1,PHF2
PHF1,TDRD19C
PHF1,hPHF1
PHF1,PHF1
PHF2,CENP-35
PHF2,GRC5
PHF2,JHDM1E
PHF2,KDM7C
PHF2,PHF2
PHKA1,PHKA
PHKA1,PHKA1
PHKA2,GSD9A
PHKA2,PHK
PHKA2,PYK
PHKA2,PYKL
PHKA2,XLG
PHKA2,XLG2
PHKA2,PHKA2
PHKB,PHKB
PHKBP1,PHKBP1
PHKBP2,PHKBP2
PHKG1,PHKG
PHKG1,PHKG1
PHKG2,GSD9C
PHKG2,PHKG2
PHKG1P3,PHKGL
PHKG1P3,PHKg1ps2
PHKG1P3,PHKG1P3
PHYH,LN1
PHYH,LNAP1
PHYH,PAHX
PHYH,PHYH1
PHYH,RD
PHYH,PHYH
SERPINA1,A1A
SERPINA1,A1AT
SERPINA1,AAT
SERPINA1,PI
SERPINA1,PI1
SERPINA1,PRO2275
SERPINA1,alpha1AT
SERPINA1,nNIF
SERPINA1,SERPINA1
PI3,ESI
PI3,SKALP
PI3,WAP3
PI3,WFDC14
PI3,cementoin
PI3,PI3
SERPINA4,KAL
SERPINA4,KLST
SERPINA4,KST
SERPINA4,PI-4
SERPINA4,PI4
SERPINA4,kallistatin
SERPINA4,SERPINA4
SERPINB5,PI5
SERPINB5,maspin
SERPINB5,SERPINB5
SERPINB6,CAP
SERPINB6,DFNB91
SERPINB6,MSTP057
SERPINB6,PI-6
SERPINB6,PI6
SERPINB6,PTI
SERPINB6,SPI3
SERPINB6,SERPINB6
SERPINE2,GDN
SERPINE2,GDNPF
SERPINE2,PI-7
SERPINE2,PI7
SERPINE2,PN-1
SERPINE2,PN1
SERPINE2,PNI
SERPINE2,SERPINE2
SERPINB8,C18orf53
SERPINB8,CAP2
SERPINB8,PI-8
SERPINB8,PI8
SERPINB8,PSS5
SERPINB8,SERPINB8
SERPINB9,CAP-3
SERPINB9,CAP3
SERPINB9,PI-9
SERPINB9,PI9
SERPINB9,SERPINB9
SERPINB10,PI-10
SERPINB10,PI10
SERPINB10,SERPINB10
SERPINI1,HNS-S1
SERPINI1,HNS-S2
SERPINI1,PI12
SERPINI1,neuroserpin
SERPINI1,SERPINI1
SERPINB13,HSHUR7SEQ
SERPINB13,HUR7
SERPINB13,PI13
SERPINB13,headpin
SERPINB13,SERPINB13
SERPINI2,MEPI
SERPINI2,PANCPIN
SERPINI2,PI14
SERPINI2,TSA2004
SERPINI2,SERPINI2
PIGA,GPI3
PIGA,MCAHS2
PIGA,PIG-A
PIGA,PNH1
PIGA,PIGA
PIGAP1,PIG-A-II
PIGAP1,PIGAP1
PIGC,GPI2
PIGC,GPIBD16
PIGC,MRT62
PIGC,PIGC
PIGCP1,PIGCP1
PIGF,OORS
PIGF,PIGF
PIGFP1,PIGFP1
PIGH,GPI-H
PIGH,PIGH
PIGR,PIGR
PIK3C2A,CPK
PIK3C2A,OCSKD
PIK3C2A,PI3-K-C2(ALPHA)
PIK3C2A,PI3-K-C2A
PIK3C2A,PI3K-C2-alpha
PIK3C2A,PI3K-C2alpha
PIK3C2A,PIK3C2A
PIK3C2B,C2-PI3K
PIK3C2B,PIK3C2B
PIK3C2G,PI3K-C2-gamma
PIK3C2G,PI3K-C2GAMMA
PIK3C2G,PIK3C2G
PIK3C3,VPS34
PIK3C3,Vps34
PIK3C3,hVps34
PIK3C3,PIK3C3
PIK3CA,CLAPO
PIK3CA,CLOVE
PIK3CA,CWS5
PIK3CA,MCAP
PIK3CA,MCM
PIK3CA,MCMTC
PIK3CA,PI3K
PIK3CA,PI3K-alpha
PIK3CA,p110-alpha
PIK3CA,PIK3CA
PIK3CB,P110BETA
PIK3CB,PI3K
PIK3CB,PI3KBETA
PIK3CB,PIK3C1
PIK3CB,PIK3CB
PIM1,PIM
PIM1,PIM1
PIK3CD,APDS
PIK3CD,IMD14
PIK3CD,IMD14A
PIK3CD,IMD14B
PIK3CD,P110DELTA
PIK3CD,PI3K
PIK3CD,ROCHIS
PIK3CD,p110D
PIK3CD,PIK3CD
PIK3CG,PI3CG
PIK3CG,PI3K
PIK3CG,PI3Kgamma
PIK3CG,PIK3
PIK3CG,p110gamma
PIK3CG,p120-PI3K
PIK3CG,PIK3CG
PIK3R1,AGM7
PIK3R1,GRB1
PIK3R1,IMD36
PIK3R1,p85
PIK3R1,p85-ALPHA
PIK3R1,PIK3R1
PIK3R2,MPPH
PIK3R2,MPPH1
PIK3R2,P85B
PIK3R2,p85
PIK3R2,p85-BETA
PIK3R2,PIK3R2
PI4KA,PI4K-ALPHA
PI4KA,PIK4CA
PI4KA,PMGYCHA
PI4KA,pi4K230
PI4KA,PI4KA
PI4KB,NPIK
PI4KB,PI4K-BETA
PI4KB,PI4K92
PI4KB,PI4KBETA
PI4KB,PI4KIII
PI4KB,PI4KIIIBETA
PI4KB,PIK4CB
PI4KB,PI4KB
PIN1,DOD
PIN1,UBL5
PIN1,PIN1
PIN1P1,PIN1L
PIN1P1,PIN1P1
PIN4,EPVH
PIN4,PAR14
PIN4,PAR17
PIN4,PIN4
PIP,GCDFP-15
PIP,GCDFP15
PIP,GPIP4
PIP,PIP
PIP4K2A,PI5P4KA
PIP4K2A,PIP5K2A
PIP4K2A,PIP5KII-alpha
PIP4K2A,PIP5KIIA
PIP4K2A,PIPK
PIP4K2A,PIP4K2A
PITPNA,HEL-S-36
PITPNA,PI-TPalpha
PITPNA,PITPN
PITPNA,VIB1A
PITPNA,PITPNA
PITX1,BFT
PITX1,CCF
PITX1,LBNBG
PITX1,POTX
PITX1,PTX1
PITX1,PITX1
PITX2,ARP1
PITX2,ASGD4
PITX2,Brx1
PITX2,IDG2
PITX2,IGDS
PITX2,IGDS2
PITX2,IHG2
PITX2,IRID2
PITX2,Otlx2
PITX2,PTX2
PITX2,RGS
PITX2,RIEG
PITX2,RIEG1
PITX2,RS
PITX2,PITX2
PITX3,ASGD1
PITX3,ASMD
PITX3,ASOD
PITX3,CTPP4
PITX3,CTRCT11
PITX3,PTX3
PITX3,PITX3
PKD1,PBP
PKD1,PC1
PKD1,Pc-1
PKD1,TRPP1
PKD1,PKD1
PKD2,APKD2
PKD2,PC2
PKD2,PKD4
PKD2,Pc-2
PKD2,TRPP2
PKD2,PKD2
PKD3,PKD3
PKLR,PK1
PKLR,PKL
PKLR,PKRL
PKLR,RPK
PKLR,PKLR
PKHD1,ARPKD
PKHD1,FCYT
PKHD1,FPC
PKHD1,PKD4
PKHD1,TIGM1
PKHD1,PKHD1
PKM,CTHBP
PKM,HEL-S-30
PKM,OIP3
PKM,PK3
PKM,PKM2
PKM,TCB
PKM,THBP1
PKM,p58
PKM,PKM
PKNOX1,PREP1
PKNOX1,pkonx1c
PKNOX1,PKNOX1
PKP1,B6P
PKP1,EDSFS
PKP1,PKP1
PKP2,ARVD9
PKP2,PKP2
PLA2G1B,PLA2
PLA2G1B,PLA2A
PLA2G1B,PPLA2
PLA2G1B,PLA2G1B
PLA2G2A,MOM1
PLA2G2A,PLA2
PLA2G2A,PLA2B
PLA2G2A,PLA2L
PLA2G2A,PLA2S
PLA2G2A,PLAS1
PLA2G2A,sPLA2
PLA2G2A,PLA2G2A
PLA2G4A,GURDP
PLA2G4A,PLA2G4
PLA2G4A,cPLA2
PLA2G4A,cPLA2-alpha
PLA2G4A,PLA2G4A
PLA2G5,FRFB
PLA2G5,GV-PLA2
PLA2G5,PLA2-10
PLA2G5,hVPLA(2)
PLA2G5,PLA2G5
PLAG1,PSA
PLAG1,SGPA
PLAG1,SRS4
PLAG1,ZNF912
PLAG1,PLAG1
PLAGL1,LOT1
PLAGL1,ZAC
PLAGL1,ZAC1
PLAGL1,PLAGL1
PLAGL2,ZNF900
PLAGL2,PLAGL2
PLAT,T-PA
PLAT,TPA
PLAT,PLAT
PLAU,ATF
PLAU,BDPLT5
PLAU,QPD
PLAU,UPA
PLAU,URK
PLAU,u-PA
PLAU,PLAU
PLAUR,CD87
PLAUR,U-PAR
PLAUR,UPAR
PLAUR,URKR
PLAUR,PLAUR
PLCB2,PLC-beta-2
PLCB2,PLCB2
PLCB3,SMDCD
PLCB3,PLCB3
PLCB4,ARCND2
PLCB4,PI-PLC
PLCB4,PLCB4
PLCD1,NDNC3
PLCD1,PLC-III
PLCD1,PLCD1
PLCL1,PLCE
PLCL1,PLCL
PLCL1,PLDL1
PLCL1,PPP1R127
PLCL1,PRIP
PLCL1,PLCL1
PLCG1,NCKAP3
PLCG1,PLC-II
PLCG1,PLC1
PLCG1,PLC148
PLCG1,PLCgamma1
PLCG1,PLCG1
PLCG2,APLAID
PLCG2,FCAS3
PLCG2,PLC-IV
PLCG2,PLC-gamma-2
PLCG2,PLCG2
PLD1,CVDD
PLD1,PLD1
PLD2,PLD1C
PLD2,PLD2
PLEC,EBS1
PLEC,EBSMD
PLEC,EBSND
PLEC,EBSO
PLEC,EBSOG
PLEC,EBSPA
PLEC,HD1
PLEC,LGMD2Q
PLEC,LGMDR17
PLEC,PCN
PLEC,PLEC1
PLEC,PLEC1b
PLEC,PLTN
PLEC,PLEC
PLG,HAE4
PLG,PLG
PLEK,P47
PLEK,PLEK
PLGLB2,PLGLA
PLGLB2,PLGLA1
PLGLB2,PLGP1
PLGLB2,PLGP2
PLGLB2,PRGA
PLGLB2,PLGLB2
PLGLB1,PLGL
PLGLB1,PLGP1
PLGLB1,PRGB
PLGLB1,PRP-B
PLGLB1,PLGLB1
SERPINF2,A2AP
SERPINF2,AAP
SERPINF2,ALPHA-2-PI
SERPINF2,API
SERPINF2,PLI
SERPINF2,alpha2AP
SERPINF2,SERPINF2
PLIN1,FPLD4
PLIN1,PERI
PLIN1,PLIN
PLIN1,PLIN1
PLK1,PLK
PLK1,STPK13
PLK1,PLK1
FXYD1,PLM
FXYD1,FXYD1
FXYD3,MAT8
FXYD3,PLML
FXYD3,FXYD3
PLN,CMD1P
PLN,CMH18
PLN,PLB
PLN,PLN
PLOD1,EDS6
PLOD1,EDSKCL1
PLOD1,LH
PLOD1,LH1
PLOD1,LLH
PLOD1,PLOD
PLOD1,PLOD1
PLOD2,BRKS2
PLOD2,LH2
PLOD2,TLH
PLOD2,PLOD2
PLP1,GPM6C
PLP1,HLD1
PLP1,MMPL
PLP1,PLP
PLP1,PLP/DM20
PLP1,PMD
PLP1,SPG2
PLP1,PLP1
PLP2,A4
PLP2,A4LSB
PLP2,PLP2
PLRG1,Cwc1
PLRG1,PRL1
PLRG1,PRP46
PLRG1,PRPF46
PLRG1,TANGO4
PLRG1,PLRG1
PLS1,DFNA76
PLS1,PLS1
PLS3,BMND18
PLS3,T-plastin
PLS3,PLS3
PLSCR1,MMTRA1B
PLSCR1,PLSCR1
PLTP,BPIFE
PLTP,HDLCQ9
PLTP,PLTP
PLXNA1,NOV
PLXNA1,NOVP
PLXNA1,PLEXIN-A1
PLXNA1,PLXN1
PLXNA1,PLXNA1
PLXNA2,OCT
PLXNA2,PLXN2
PLXNA2,PLXNA2
PLXNB1,PLEXIN-B1
PLXNB1,PLXN5
PLXNB1,SEP
PLXNB1,PLXNB1
PLXNB3,PLEXB3
PLXNB3,PLEXR
PLXNB3,PLXN6
PLXNB3,PLXNB3
PMAIP1,APR
PMAIP1,NOXA
PMAIP1,PMAIP1
PMCH,MCH
PMCH,ppMCH
PMCH,PMCH
PNOC,N/OFQ
PNOC,NOP
PNOC,OFQ
PNOC,PPNOC
PNOC,ppN/OFQ
PNOC,PNOC
PMCHL1,PMCHL1
PMCHL2,PMCHL2
PML,MYL
PML,PP8675
PML,RNF71
PML,TRIM19
PML,PML
PMM1,PMM 1
PMM1,PMMH-22
PMM1,Sec53
PMM1,PMM1
PMM2,CDG1
PMM2,CDG1a
PMM2,CDGS
PMM2,PMI
PMM2,PMI1
PMM2,PMM 2
PMM2,PMM2
PMP2,CMT1G
PMP2,FABP8
PMP2,M-FABP
PMP2,MP2
PMP2,P2
PMP2,PMP2
PMP22,CIDP
PMP22,CMT1A
PMP22,CMT1E
PMP22,DSS
PMP22,GAS-3
PMP22,GAS3
PMP22,HMSNIA
PMP22,HNPP
PMP22,Sp110
PMP22,PMP22
PMS1,HNPCC3
PMS1,MLH2
PMS1,PMSL1
PMS1,hPMS1
PMS1,PMS1
PMS2P1,PMS2L1
PMS2P1,PMS2L13
PMS2P1,PMS2L6
PMS2P1,PMS2L7
PMS2P1,PMS2L8
PMS2P1,PMS3
PMS2P1,PMS8
PMS2P1,PMSR1
PMS2P1,PMSR2
PMS2P1,PMS2P1
PMS2P2,PMS2L2
PMS2P2,PMS4
PMS2P2,PMS2P2
PMS2P4,PMS2L4
PMS2P4,PMS6
PMS2P4,PMS2P4
PMS2P5,PMS2L5
PMS2P5,PMS7
PMS2P5,PMS2P5
PMS2P3,PMS2L3
PMS2P3,PMS2L9
PMS2P3,PMS5
PMS2P3,PMSR3
